tender_id,vendor_id,employee_id,amount,rule_score,iforest_score,xgb_score,risk_score_nograph,risk_score,is_fraud,expected_loss
T00000,V0082,E0040,38141.4,0,0.43953955779357795,0.0008067999151535332,0.4611501597444089,0.6480511182108626,0,30.772478283836975
T00001,V0031,E0028,6515.53,0,0.41931666924081534,8.818696369417012e-05,0.515367412140575,0.4065814696485623,0,0.5745848075582762
T00002,V0120,E0052,6756.52,0,0.3952769402300636,5.94533012190368e-05,0.1470287539936102,0.30150159744408944,0,0.4016974187524466
T00003,V0033,E0054,21601.65,0,0.43897734447405296,0.0005134802777320147,0.48261980830670925,0.6231948881789138,0,11.092021241469775
T00004,V0068,E0017,27000.0,0,0.4556391708208037,2.0518977180472575e-05,0.27638977635782747,0.2823003194888179,0,0.5540123838727595
T00005,V0251,E0036,11498.48,0,0.4038682454651731,1.83309839485446e-05,0.44955271565495203,0.1588178913738019,0,0.2107784523126611
T00006,V0293,E0028,6912.46,0,0.4342286237299437,5.4032258049119264e-05,0.5281789137380192,0.3682747603833866,0,0.3734958224742149
T00007,V0040,E0041,10380.39,0,0.40392707980592457,3.171713979099877e-05,0.333961661341853,0.20440894568690096,0,0.3292362807150857
T00008,V0179,E0008,16145.22,0,0.43371958971247726,0.00020541231788229197,0.32150159744408946,0.5433865814696486,0,3.316427062919538
T00009,V0163,E0042,3670.99,0,0.40255271667098463,4.020376945845783e-05,0.22115015974440894,0.2360063897763578,0,0.1475876356443041
T00010,V0272,E0046,110000.0,0,0.5197689925177252,0.0004320056759752333,0.5778913738019169,0.7004153354632587,0,47.520624357275665
T00011,V0016,E0057,4430.53,0,0.4018326663786901,9.542556654196233e-05,0.22322683706070284,0.3783386581469649,0,0.4227858353311603
T00012,V0250,E0006,111604.88,0,0.42941216765444146,0.00023347308160737157,0.4693610223642173,0.5452396166134186,0,26.05673525602091
T00013,V0052,E0002,25162.55,0,0.4589367426773496,0.00014754456060472876,0.6450479233226837,0.560223642172524,0,3.7125973834445176
T00014,V0126,E0038,2765.27,0,0.44330877211366415,0.0005221631145104766,0.4590095846645368,0.6337699680511182,0,1.4439219956623857
T00015,V0292,E0037,44444.86,0,0.4225951808221569,7.82748538767919e-05,0.294888178913738,0.39808306709265173,0,3.478914922074473
T00016,V0082,E0007,92000.0,2,0.5580205350449181,0.3928861916065216,0.9540894568690095,0.9553674121405751,1,36145.52962779999
T00017,V0110,E0045,4246.0,0,0.41615567177872864,6.430911889765412e-05,0.39958466453674124,0.35261980830670925,0,0.2730565188394394
T00018,V0142,E0019,28000.0,0,0.4791126694217814,7.148156146286055e-05,0.3650479233226837,0.49060702875399365,0,2.0014837209600955
T00019,V0239,E0011,26001.64,0,0.43892349930937513,0.00040447089122608304,0.5301277955271566,0.6093610223642172,0,10.51690650413977
T00020,V0050,E0021,181713.0,0,0.46686585318192314,0.0002229369420092553,0.5779872204472843,0.6134504792332268,0,40.51054054332781
T00021,V0134,E0017,103038.91,0,0.4289643634802941,0.00020030203450005502,0.6005431309904153,0.5283386581469649,0,20.638903305668066
T00022,V0274,E0055,6076.02,0,0.5095208558993249,3.668268254841678e-05,0.6435463258785943,0.3879552715654952,0,0.22288471281783134
T00023,V0184,E0035,92853.49,1,0.4317808314478516,0.0005459363455884159,0.711629392971246,0.758115015974441,0,50.69209500573052
T00024,V0151,E0041,9355.34,0,0.42521041394802916,0.00010712694347603247,0.22178913738019168,0.4505431309904153,0,1.0022089793790656
T00025,V0203,E0007,7000.0,0,0.4856485648157675,6.386292807292193e-05,0.4374121405750799,0.4783067092651757,0,0.4470404965104535
T00026,V0196,E0048,12036.48,0,0.40583864329970704,2.9675575206056237e-05,0.197220447284345,0.2008945686900958,0,0.3571894674561918
T00027,V0190,E0045,114473.63,0,0.4740582816684038,0.0002235007268609479,0.6819808306709265,0.622076677316294,0,25.584939511411214
T00028,V0230,E0025,55267.94,0,0.449150852260415,0.0001268210617126897,0.28047923322683704,0.5263258785942492,0,7.0091388294732315
T00029,V0053,E0001,42000.0,0,0.4697928682038967,0.00017207713972311467,0.49859424920127793,0.5904472843450479,0,7.227239868370816
T00030,V0070,E0018,41539.96,0,0.39152944556609026,0.000172432090039365,0.21881789137380192,0.43862619808306713,0,7.16282212295162
T00031,V0041,E0016,42511.41,0,0.42680679528772636,5.73097713640891e-05,0.24332268370607027,0.36089456869009584,0,2.436319187465051
T00032,V0205,E0006,73866.0,0,0.4369328169214266,5.59126419830136e-05,0.28773162939297126,0.38102236421725244,0,4.130043212717283
T00033,V0187,E0021,38180.25,0,0.4186501485806874,0.0004107502172701061,0.6370607028753994,0.5587859424920127,0,15.682545982926968
T00034,V0133,E0002,12769.49,0,0.4606768478676522,0.00017609665519557893,0.6686900958466454,0.5808306709265176,0,2.248664477553393
T00035,V0204,E0041,56759.25,0,0.4501940884806711,0.0001265186001546681,0.5024600638977635,0.5284984025559105,0,7.181100855828845
T00037,V0025,E0052,421000.0,0,0.5131121843836506,0.0014054799685254693,0.6185303514376996,0.7472843450479233,0,591.7070667492226
T00038,V0150,E0035,38000.0,0,0.46155530758787106,4.9905724154086784e-05,0.5683067092651757,0.40920127795527156,0,1.8964175178552978
T00039,V0053,E0002,27000.0,0,0.5146689529145859,0.0006050036754459143,0.596517571884984,0.7192012779552716,0,16.335099237039685
T00040,V0175,E0017,2528.67,0,0.4139208859235736,3.4184638934675604e-05,0.1846964856230032,0.23277955271565495,0,0.08644167093494616
T00041,V0260,E0024,7715.97,0,0.4341647211906278,2.091566966555547e-05,0.31543130990415336,0.23795527156549517,0,0.16138467966933603
T00042,V0210,E0036,104000.0,1,0.4813264382460907,0.0003115883737336844,0.7889776357827476,0.8033546325878594,0,32.40519086830318
T00043,V0120,E0038,28156.93,0,0.40256267311688826,0.0006496932473964989,0.34932907348242814,0.5496485623003196,0,18.2933672884159
T00044,V0147,E0052,6972.52,0,0.4365322388722414,9.435359970666468e-05,0.36955271565495207,0.4582108626198083,0,0.6578823610267137
T00045,V0162,E0009,91120.73,0,0.4705611307776477,0.00011141240247525275,0.5306709265175719,0.5442492012779552,0,10.151979444598837
T00046,V0030,E0028,18515.66,0,0.44465166637686254,0.0005706710508093238,0.6341533546325879,0.642779552715655,0,10.566351148628163
T00047,V0281,E0031,143340.7,0,0.44338328072746985,0.0004935690085403621,0.6770926517571885,0.6302875399361022,0,70.7485271824815
T00048,V0019,E0048,47670.93,0,0.4390082884306771,0.0005463269772008061,0.6306070287539935,0.6285303514376996,0,26.043915087251225
T00049,V0103,E0048,4271.45,0,0.4094360995027957,9.281680104322731e-05,0.34063897763578277,0.3885623003194888,0,0.3964623248160933
T00050,V0172,E0007,32175.91,0,0.4096447126430275,6.516411667689681e-05,0.30757188498402555,0.3396805111821086,0,2.096714753425331
T00051,V0192,E0009,16634.63,0,0.47018105493600365,0.00036134745460003614,0.6474121405750799,0.6569968051118211,0,6.0108812087134
T00052,V0175,E0033,5938.0,0,0.41643974775728715,3.2829222618602216e-05,0.1928115015974441,0.2354632587859425,0,0.19493992390925996
T00053,V0220,E0012,165448.37,0,0.48285506972927117,0.0003268010332249105,0.553929712460064,0.6623961661341853,0,54.068698261377286
T00054,V0082,E0025,112458.91,0,0.49622212990973097,0.00018965231720358133,0.6387859424920128,0.6231309904153355,0,21.328092871689005
T00055,V0222,E0034,111000.0,0,0.4853807801688526,0.0001746900234138593,0.5251757188498403,0.607444089456869,0,19.390592598938383
T00056,V0294,E0036,68000.0,0,0.5227753129128538,0.00011005912529071793,0.47012779552715656,0.5766773162939298,0,7.484020519768819
T00057,V0272,E0009,913399.32,0,0.5385987575329494,0.0005842813989147544,0.6668690095846646,0.7229392971246007,0,533.6822324573853
T00058,V0296,E0048,27051.31,0,0.4746157072113579,0.0003821148129645735,0.7435143769968051,0.6652396166134185,0,10.336706261096698
T00059,V0039,E0043,10282.64,0,0.40828407661720334,4.56061061413493e-05,0.43303514376996805,0.2724920127795527,0,0.46895117125328395
T00060,V0258,E0020,2188.71,0,0.4371962162197602,6.480493902927265e-05,0.4607667731629393,0.4067731629392971,0,0.14183921810275935
T00061,V0194,E0037,257994.24,1,0.49952594830365693,0.006121475715190172,0.9042172523961661,0.9061341853035143,0,1579.305474818945
T00062,V0020,E0004,5295.86,0,0.4641583822853492,0.00011517199891386554,0.4282428115015974,0.5405431309904153,0,0.6099347821679839
T00063,V0079,E0055,15000.0,0,0.4451237195051791,6.205232784850523e-05,0.476517571884984,0.41645367412140577,0,0.9307849177275784
T00064,V0263,E0009,16851.3,0,0.48183941049839846,7.857182208681479e-05,0.5934185303514377,0.5071565495207668,0,1.324037345531542
T00065,V0178,E0016,74394.63,0,0.44811245479328543,5.2511022659018636e-05,0.5433865814696486,0.3948242811501597,0,3.906538101639308
T00066,V0087,E0037,457751.23,0,0.5102179410717299,0.001533200265839696,0.6810223642172524,0.7492332268370607,0,701.8243075244478
T00067,V0239,E0038,20349.1,0,0.4174322833381253,0.00012410234194248915,0.44904153354632587,0.4484025559105431,0,2.5253709664219057
T00068,V0066,E0016,7692.91,0,0.395373594083999,5.5065062042558566e-05,0.367444089456869,0.2880511182108626,0,0.4236105664378192
T00069,V0188,E0019,17246.53,0,0.3950645696517191,3.959102832595818e-05,0.38731629392971245,0.22469648562300318,0,0.6828078577544875
T00070,V0193,E0011,2624.51,1,0.49746103374909495,0.9926799535751343,0.9303833865814697,0.9303833865814697,1,2605.298464957476
T00071,V0083,E0011,3005.19,0,0.41101930832527545,3.8590198528254405e-05,0.24,0.24335463258785942,0,0.11597087871512486
T00072,V0147,E0028,40936.18,0,0.46488558910023675,0.0002761418290901929,0.6943769968051118,0.6292012779552716,1,11.304191621165373
T00073,V0102,E0035,22578.06,0,0.40586230818472085,5.101869464851916e-05,0.3889776357827476,0.28961661341853034,0,1.1519031488959446
T00074,V0090,E0005,27671.14,0,0.4446176723315634,0.00019587966380640864,0.6837060702875399,0.5618210862619808,0,5.420213600340066
T00075,V0298,E0009,10063.37,0,0.42911198960062047,5.066481389803812e-05,0.4838658146964856,0.344888178913738,0,0.5098587682370999
T00076,V0054,E0014,30000.0,0,0.45706070420817346,9.731954196467996e-05,0.39587859424920124,0.506261980830671,0,2.9195862589403987
T00077,V0063,E0027,3160.27,0,0.42160840174823444,5.815240365336649e-05,0.19616613418530351,0.3485623003194888,0,0.18377729669362453
T00078,V0057,E0010,8690.73,0,0.42659597987940606,4.652059942600317e-05,0.44712460063897763,0.32044728434504793,0,0.4042979690495485
T00079,V0176,E0000,18110.69,1,0.507586468873618,0.9958782196044922,0.9476996805111821,0.9397124600638977,1,18036.04171300888
T00080,V0073,E0056,7590.57,0,0.39236427315586064,3.777351230382919e-05,0.21498402555910542,0.21274760383386582,0,0.28672248928807675
T00081,V0181,E0054,7143.6,0,0.41538386767621766,0.00015004686429165304,0.5572843450479233,0.4622364217252396,0,1.0718747797538526
T00082,V0131,E0022,27544.18,0,0.453568552775604,0.0001819674507714808,0.38376996805111824,0.5735463258785942,0,5.012144218190806
T00083,V0026,E0006,19528.43,0,0.4126808707242995,2.2229451133171096e-05,0.18833865814696485,0.1865814696485623,0,0.43410628039255245
T00084,V0148,E0017,52113.89,0,0.4679800403197759,0.018650906160473824,0.6806709265175719,0.7375399361022364,1,971.9712720472552
T00085,V0187,E0019,18518.33,0,0.4680360768582673,0.015880579128861427,0.7202555910543131,0.7370287539936102,0,294.0818048993685
T00086,V0181,E0031,8631.16,0,0.42142636859868027,1.4063198250369169e-05,0.22987220447284346,0.18993610223642174,0,0.12138171421065636
T00087,V0127,E0042,36000.0,0,0.42705797283080865,0.0001829193497542292,0.5200638977635783,0.5143130990415334,0,6.585096591152251
T00088,V0139,E0027,39055.35,0,0.4222478646302235,2.927820969489403e-05,0.3615335463258786,0.23741214057507987,0,1.1434707270074795
T00089,V0149,E0059,55955.13,1,0.4933621091139382,0.0005731162964366376,0.8537699680511182,0.8528115015974441,0,32.06879687223059
T00090,V0242,E0041,39418.38,0,0.4453865067291494,0.0002307308022864163,0.5999680511182108,0.5800000000000001,0,9.095034442230826
T00091,V0183,E0004,3000.0,0,0.4750081570167159,6.536015280289575e-05,0.5115654952076677,0.4727476038338658,0,0.19608045840868726
T00092,V0007,E0026,6000.0,0,0.4786223531954085,0.00012190647248644382,0.5446964856230032,0.5638658146964857,0,0.7314388349186629
T00094,V0264,E0023,6000.0,0,0.48956927549486473,2.1020910935476422e-05,0.34808306709265174,0.32220447284345044,0,0.12612546561285853
T00095,V0071,E0001,15514.16,0,0.4713479201279947,0.0008810065919533372,0.6908626198083068,0.7052396166134185,0,13.668077228618786
T00096,V0000,E0041,4025.78,0,0.46210306178711347,3.3820077078416944e-05,0.38539936102236416,0.33923322683706064,0,0.13615218990074937
T00097,V0283,E0057,8245.4,1,0.5077044260735321,0.9965544939041138,0.9264536741214058,0.9421086261980831,1,8216.99042403698
T00098,V0089,E0004,14252.27,0,0.457195986287873,0.0005238318699412048,0.6564536741214058,0.6622044728434504,0,7.465793245006935
T00099,V0072,E0059,53488.28,0,0.46573694046702546,7.013485446805134e-05,0.4172523961661342,0.4739616613418531,0,3.7513927335463815
T00100,V0168,E0047,13000.0,0,0.5287663937604951,1.0233361535938457e-05,0.4053035143769968,0.3211182108626198,0,0.13303369996719994
T00101,V0009,E0001,4808.24,0,0.4581569674373473,0.0003976359439548105,0.36753993610223645,0.6466134185303515,0,1.9119290511612779
T00102,V0037,E0049,7916.66,0,0.4316903160984747,2.5388442736584693e-05,0.35354632587859425,0.24587859424920128,0,0.20099166907501057
T00103,V0235,E0032,20701.67,0,0.4625174357023563,0.0015234549064189196,0.7043450479233226,0.7102555910543131,0,31.538060732565352
T00104,V0048,E0025,36860.46,0,0.39924925402361844,8.727133536012843e-05,0.4171246006389776,0.3628115015974441,0,3.2168615661885998
